week_start,occ_nights,occ_pct
2025-08-11,7,100.0
2025-08-18,6,85.71
2025-08-25,4,57.14
2025-09-01,2,28.57
2025-09-08,1,14.29
2025-09-15,3,42.86
2025-09-22,1,14.29
2025-09-29,2,28.57
2025-10-06,2,28.57
2025-10-13,1,14.29
2025-10-20,6,85.71
2025-10-27,5,71.43
2025-11-03,1,14.29
2025-11-10,3,42.86
2025-11-17,1,14.29
2025-11-24,3,42.86
2025-12-01,0,0.0
2025-12-08,3,42.86
2025-12-15,2,28.57
2025-12-22,3,42.86
2025-12-29,0,0.0
2026-01-05,1,14.29
2026-01-12,0,0.0
2026-01-19,2,28.57
2026-01-26,1,14.29
2026-02-02,1,14.29
2026-02-09,2,28.57
2026-02-16,4,57.14
2026-02-23,1,14.29
2026-03-02,3,42.86
2026-03-09,0,0.0
2026-03-16,0,0.0
2026-03-23,2,28.57
2026-03-30,1,14.29
2026-04-06,0,0.0
2026-04-13,2,28.57
2026-04-20,0,0.0
2026-04-27,0,0.0
2026-05-04,1,14.29
2026-05-11,2,28.57
2026-05-18,2,28.57
2026-05-25,5,71.43
2026-06-01,3,42.86
2026-06-08,5,71.43
2026-06-15,1,14.29
2026-06-22,6,85.71
2026-06-29,4,57.14
